,Toode,Hind
91,"Hapukurk Peipsi pakitud, 400 g","1,09 €  2,18 €/kg "
92,"Keedupeet vaakumis, LAHEOTSA, 500 g","1,69 € 1,69 €/kg "
93,"Porgandimahl, KADARBIKU KÖÖGIVILI, 500 ml","0,05 €  0,05 €/tk "
94,"Punane peakapsas, kg","1,79 € 6,39 €/l "
95,"Paprika kollane, kg","2,99 €  2,99 €/kg "
96,"Aedmuraka-mustika smuuti chia-seemnetega, PAI+, 280 ml","0,59 € 0,39 €/l "
97,"Koriander potis, GRÜNE FEE, tk","1,39 €  1,39 €/kg "
98,"Pirni-banaani smuuti, PAI, 280 ml","1,59 € 3,18 €/l "
99,"Keedupeet riivitud, LAHEOTSA, 500 g","1,49 €  2,98 €/kg "
100,"Smuuti mango-apelsini, AURA, 330 g","2,99 € 2,99 €/l "
101,"Pomel, kg","1,39 €  1,39 €/kg "
102,"Hapendatud kurk pakitud, 400 g","1,99 €  4,98 €/kg "
103,"God Morgon apelsinimahl viljalihaga, RYNKEBY, 1,75 l","0,89 € 1,78 €/l "
104,"Mahe kartul, 2 kg","2,99 €  1,50 €/kg "
105,"Spinat potis, GRÜNE FEE, tk","1,39 €  1,39 €/tk "
106,"Smuuti aprikoosi-banaani-porgandi, AURA, 330 g","0,99 €  3,00 €/kg "
107,"Smuuti kiivi-ananassi-mango, AURA, 300 g","0,99 €  3,00 €/kg "
108,"Füüsal karbis, 100 g","1,79 €  17,90 €/kg "
109,"Hapukapsamahl, TARPLAN, 300 ml","1,29 € 2,58 €/l "
110,"Smuuti mango-kibuvitsa, PAI+, 280 g","0,89 € 1,78 €/l "
111,"Mahe Idusalat, LÕUNAIDU, 150 g","1,99 €  13,27 €/kg "
112,"Kiivi-mango smuuti, PAI, 280 ml","2,29 € 6,94 €/l "
113,"Mango-banaani smuuti, PAI, 280 ml","1,49 € 2,98 €/l "
114,"Basiilik potis, ORU FARM, tk","1,99 €  1,99 €/tk "
115,"Smuuti pirni-banaani-viinamarja, AURA, 330 g","1,49 € 2,98 €/l "
116,"Paprika mix, 500 g","2,79 €  5,58 €/kg "
117,"Hapukapsas, KADARBIKU KÖÖGIVILI, 800 g","1,79 €  2,24 €/kg "
118,"Melon roheline, kg","1,99 €  1,99 €/kg "
119,"Rukola potis, GRÜNE FEE, tk","1,39 €  1,39 €/tk "
120,"Beebišampinjonid, 230 g","1,59 €  6,91 €/kg "
121,"Laim, kg","3,99 € 3,99 €/kg "
122,"Šampinjonid pruunid, 230 g","4,99 € 4,99 €/kg "
123,"Mahe pirni-vaarika-banaanipüree, MUUTI, 110 g","1,29 € 2,58 €/l "
124,"Punane viinamari Red Globe, kg","1,29 €  11,73 €/kg "
125,"Koriander, 50 g","4,99 €  4,99 €/kg "
126,"Smushie Mustasõstra-kookosesmuuti chia seemnetega, SALVEST, 170 g","13,99 €  13,99 €/kg "
127,"Apelsini-porgandimahl, KADARBIKU KÖÖGIVILI, 500 ml","2,59 €  2,59 €/l "
128,"Ahjusegu porgand nuikapsas porrulauk kaalikas, KADARBIKU KÖÖGIVILI, 700 g","1,99 € 3,98 €/l "
129,"Smushie Mustika-jogurtismuuti kinoa helvestega, SALVEST, 170 g","13,99 € 27,98 €/l "
130,"Ananassi-mango smuuti, PAI, 280 ml","0,39 €  1,95 €/l "
131,"Kirsstomat Kumato, 250 g","1,79 € 6,39 €/l "
132,"Hapukapsas, KADARBIKU KÖÖGIVILI, 1 kg","2,49 €  9,96 €/kg "
133,"Mahe Mungoa idud, RÜÜTS, 125 g","1,49 €  1,49 €/kg "
134,"Pirn Abate, kg","1,99 €  14,21 €/kg "
135,"Bechamel valge koorekaste, FOODSTUDIO, 350 ml","2,59 €  2,59 €/kg "
136,"Võisalat potis, ORU FARM, tk","2,99 €  8,54 €/l "
137,"Vaarika peedi mustasõstra smuuti, PAI, 280 ml","0,39 € 0,78 €/l "
138,"Koriander potis, ORU FARM, tk","1,99 € 1,99 €/tk "
139,"Mahe Lutserni idu, LÕUNAIDU, 100 g","1,79 € 6,39 €/l "
140,"Mustika-banaani smuuti, PAI, 280 ml","13,99 €  13,99 €/kg "
141,"Porgandi-astelpajumahl, KADARBIKU KÖÖGIVILI, 500 ml","1,79 € 6,39 €/l "
142,"Grill Šampinjonid, 450 g","1,99 €  19,90 €/kg "
143,"Öko banaani-õuna-mustikapüree, MUUTI, 110 g","2,39 € 7,24 €/l "
144,"Apelsinimahl, MANA, 750 ml","1,99 € 3,98 €/l "
145,"Mahe mango-porgandi-astelpajupüree, MUUTI, 110 g","1,99 € 7,24 €/l "
146,"Koorene sidrunikaste, FOODSTUDIO, 230 ml","1,29 €  11,73 €/kg "
